Aug. 15, 2022   18:23:50
-0.338, -1.767e-4
-0.333, -1.648e-4
-0.328, -1.530e-4
-0.323, -1.415e-4
-0.318, -1.301e-4
-0.313, -1.190e-4
-0.308, -1.080e-4
-0.303, -9.763e-5
-0.298, -8.771e-5
-0.293, -7.831e-5
-0.288, -6.950e-5
-0.283, -6.127e-5
-0.278, -5.371e-5
-0.273, -4.678e-5
-0.268, -4.049e-5
-0.263, -3.475e-5
-0.258, -2.967e-5
-0.253, -2.512e-5
-0.248, -2.112e-5
-0.243, -1.762e-5
-0.238, -1.457e-5
-0.233, -1.194e-5
-0.228, -9.680e-6
-0.223, -7.741e-6
-0.218, -6.087e-6
-0.213, -4.695e-6
-0.208, -3.521e-6
-0.203, -2.535e-6
-0.198, -1.718e-6
-0.193, -1.041e-6
-0.188, -4.781e-7
-0.183, -1.844e-8
-0.178, 3.604e-7
-0.173, 6.689e-7
-0.168, 9.185e-7
-0.163, 1.119e-6
-0.158, 1.280e-6
-0.153, 1.411e-6
-0.148, 1.516e-6
-0.143, 1.600e-6
-0.138, 1.669e-6
-0.133, 1.723e-6
-0.128, 1.767e-6
-0.123, 1.802e-6
-0.118, 1.832e-6
-0.113, 1.856e-6
-0.108, 1.878e-6
-0.103, 1.897e-6
